"","na.omit(tex)[1:10]"
"791","IEEE Transactions on Aerospace and Electronic Systems"
"792","GPS Solutions"
"793","IET Radar, Sonar & Navigation"
"794","International Conference on Indoor Positioning and Indoor Navigation (IPIN)"
"795","IEEE Radar Conference"
"796","The Journal of Navigation"
"797","Navigation: Journal of The Institute of Navigation"
"798","IEEE/ION Position, Location and Navigation Symposium"
"799","International Radar Symposium"
"800","Workshop on Positioning, Navigation and Communication"
"801","Remote Sensing of Environment"
"802","IEEE Transactions on Geoscience and Remote Sensing"
"803","Remote Sensing"
"804","ISPRS Journal of Photogrammetry and Remote Sensing"
"805","IEEE Geoscience and Remote Sensing Letters"
"806","International Journal of Applied Earth Observation and Geoinformation"
"807","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing"
"808","International Journal of Remote Sensing"
"809","International Archives of the Photogrammetry, Remote Sensing & Spatial Information Sciences"
"810","International Journal of Digital Earth"
"811","IEEE International Conference on Robotics and Automation"
"812","IEEE/ASME Transactions on Mechatronics"
"813","The International Journal of Robotics Research"
"814","IEEE/RSJ International Conference on Intelligent Robots and Systems"
"815","IEEE Transactions on Robotics"
"816","Robotics and Autonomous Systems"
"817","Robotics: Science and Systems"
"818","Journal of Intelligent & Robotic Systems"
"819","Robotics and Computer-Integrated Manufacturing"
"820","Journal of Field Robotics"
"821","IEEE Transactions on Image Processing"
"822","IEEE Transactions on Wireless Communications"
"823","IEEE Transactions on Signal Processing"
"824","IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)"
"825","IEEE Signal Processing Magazine"
"826","IEEE Journal of Selected Topics in Signal Processing"
"827","IEEE Transactions on Circuits and Systems for Video Technology"
"828","IEEE Signal Processing Letters"
"829","Conference of the International Speech Communication Association (INTERSPEECH)"
"830","Signal Processing"
"831","ACM/IEEE International Conference on Software Engineering"
"832","IEEE Transactions on Software Engineering"
"833","Journal of Systems and Software"
"834","ACM SIGSOFT International Symposium on Foundations of Software Engineering"
"835","ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI)"
"836","Information and Software Technology"
"837","ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages (POPL)"
"838","Mining Software Repositories"
"839","Empirical Software Engineering"
"840","IEEE Software"
"841","Composite Structures"
"842","Computer Methods in Applied Mechanics and Engineering"
"843","Engineering Structures"
"844","Structural and Multidisciplinary Optimization"
"845","International Journal for Numerical Methods in Engineering"
"846","Computers & Structures"
"847","Computational Mechanics"
"848","Earthquake Engineering & Structural Dynamics"
"849","Thin-Walled Structures"
"850","Journal of Structural Engineering"
"851","Renewable and Sustainable Energy Reviews"
"852","Applied Energy"
"853","Journal of Power Sources"
"854","Energy"
"855","Energy Conversion and Management"
"856","Renewable Energy"
"857","Energy and Buildings"
"858","International Journal of Hydrogen Energy"
"859","IEEE Transactions on Sustainable Energy"
"860","Solar Energy"
"861","Computer Law & Security Review"
"862","Berkeley Technology Law Journal"
"863","Pharmaceutical Patent Analyst"
"864","International Data Privacy Law"
"865","Minnesota Journal of Law, Science & Technology"
"866","Vanderbilt Journal of Entertainment and Technology Law"
"867","World Patent Information"
"868","Columbia Journal of Law & the Arts"
"869","IIC-International Review of Intellectual Property and Competition Law"
"870","Journal on Telecommunications & High Technology Law"
"871","Dyes and Pigments"
"872","Textile Research Journal"
"873","Fibers and Polymers"
"874","The Journal of The Textile Institute"
"875","Coloration Technology"
"876","Journal of Industrial Textiles"
"877","Indian Journal of Fibre & Textile Research (IJFTR)"
"878","Journal of Natural Fibers"
"879","Fibers"
"880","Fibres & Textiles in Eastern Europe"
"881","ACM Symposium on Theory of Computing"
"882","IEEE Symposium on Foundations of Computer Science (FOCS)"
"883","ACM SIAM Symposium on Discrete Algorithms"
"884","Journal of the ACM (JACM)"
"885","SIAM Journal on Computing"
"886","Theoretical Computer Science"
"887","Journal of Computer and System Sciences"
"888","Algorithmica"
"889","International Colloquium on Automata, Languages and Programming (ICALP)"
"890","Conference on Innovations in Theoretical Computer Science"
"891","IEEE Transactions on Intelligent Transportation Systems"
"892","Transportation Research Part C: Emerging Technologies"
"893","Accident Analysis & Prevention"
"894","Transportation Research Part B: Methodological"
"895","Journal of Transport Geography"
"896","Transportation Research Part A: Policy and Practice"
"897","Transportation Research Part E: Logistics and Transportation Review"
"898","Transport Policy"
"899","Transportation Research Part D: Transport and Environment"
"900","Computer-Aided Civil and Infrastructure Engineering"
"901","Water Research"
"902","Journal of Membrane Science"
"903","Desalination"
"904","Separation and Purification Technology"
"905","Ecological Engineering"
"906","Water Resources Management"
"907","Critical Reviews in Environmental Science and Technology"
"908","Journal of Water Resources Planning and Management"
"909","Desalination and Water Treatment"
"910","Water Science and Technology"
"911","Cellulose"
"912","BioResources"
"913","Wood Science and Technology"
"914","European Journal of Wood and Wood Products"
"915","Holzforschung"
"916","International Association of Wood Anatomists Journal"
"917","Nordic Pulp & Paper Research Journal"
"918","Journal of Wood Science"
"919","Journal of Wood Chemistry and Technology"
"920","Maderas. Ciencia y Tecnología"
"921","Addiction"
"922","Drug & Alcohol Dependence"
"923","Nicotine & Tobacco Research"
"924","Addictive Behaviors"
"925","Alcoholism-Clinical and Experimental Research"
"926","Psychology of Addictive Behaviors"
"927","International Journal of Drug Policy"
"928","Addiction Biology"
"929","Journal of Substance Abuse Treatment"
"930","Alcohol and Alcoholism"
"931","AIDS"
"932","Journal of Acquired Immune Deficiency Syndromes"
"933","AIDS and behavior"
"934","Journal of the International AIDS Society"
"935","Retrovirology"
"936","Current opinion in HIV and AIDS"
"937","AIDS Care"
"938","The Lancet HIV"
"939","Current HIV/AIDS Reports"
"940","HIV Medicine"
"941","Evidence-Based Complementary and Alternative Medicine"
"942","BMC Complementary and Alternative Medicine"
"943","Journal of Ethnobiology and Ethnomedicine"
"944","Complementary Therapies in Medicine"
"945","American Journal of Occupational Therapy"
"946","The Journal of Alternative and Complementary Medicine"
"947","Complementary Therapies in Clinical Practice"
"948","Journal of Traditional and Complementary Medicine"
"949","The American Journal of Chinese Medicine"
"950","Chinese Journal of Natural Medicines"
"951","Survey of Anesthesiology"
"952","British Journal of Anaesthesia"
"953","Obstetric Anesthesia Digest"
"954","Anesthesiology"
"955","Anesthesia & Analgesia"
"956","Anaesthesia"
"957","Pediatric Anesthesia"
"958","Acta Anaesthesiologica Scandinavica"
"959","Regional Anesthesia and Pain Medicine"
"960","Canadian Journal of Anesthesia"
"961","Journal of Speech, Language, and Hearing Research"
"962","Ear and Hearing"
"963","International Journal of Audiology"
"964","Journal of Voice"
"965","International Journal of Language & Communication Disorders"
"966","American Journal of Speech-Language Pathology"
"967","Aphasiology"
"968","Journal of Fluency Disorders"
"969","International Journal of Speech-Language Pathology"
"970","Journal of the American Academy of Audiology"
"971","Nursing Ethics"
"972","Journal of Medical Ethics"
"973","The Journal of Law, Medicine & Ethics"
"974","The American Journal of Bioethics"
"975","BMC Medical Ethics"
"976","Bioethics"
"977","Medicine, Health Care and Philosophy"
"978","Hastings Center Report"
"979","Journal of Bioethical Inquiry"
"980","Journal of Medicine and Philosophy"
"981","Biomaterials"
"982","Acta Biomaterialia"
"983","IEEE Transactions on Biomedical Engineering"
"984","Journal of Biomedical Materials Research Part A"
"985","Journal of the Mechanical Behavior of Biomedical Materials"
"986","Journal of Neural Engineering"
"987","Annals of Biomedical Engineering"
"988","Tissue Engineering Part A"
"989","Biofabrication"
"990","Tissue Engineering Part B: Reviews"
"991","Journal of the American College of Cardiology"
"992","Circulation"
"993","European Heart Journal"
"994","Circulation Research"
"995","International Journal of Cardiology"
"996","JACC: Cardiovascular Interventions"
"997","Heart"
"998","Heart rhythm"
"999","The Journal of Thoracic and Cardiovascular Surgery"
"1000","Nature Reviews. Cardiology"
"1001","Journal of Autism and Developmental Disorders"
"1002","Journal of Child Psychology and Psychiatry"
"1003","Developmental Psychology"
"1004","Child Development"
"1005","Journal of Youth and Adolescence"
"1006","Journal of Abnormal Child Psychology"
"1007","Development and Psychopathology"
"1008","Autism"
"1009","Developmental Science"
"1010","Journal of Clinical Child & Adolescent Psychology"
"1011","Clinical Chemistry"
"1012","Clinica chimica acta"
"1013","Clinical Biochemistry"
"1014","Clinical Chemistry and Laboratory Medicine"
"1015","Biochemia Medica"
"1016","International Journal of Laboratory Hematology"
"1017","Clinics in Laboratory Medicine"
"1018","Annals of Clinical Biochemistry"
"1019","Critical Reviews in Clinical Laboratory Sciences"
"1020","Annals of Laboratory Medicine"
"1021","Clinical Infectious Diseases"
"1022","The Lancet Infectious Diseases"
"1023","Emerging Infectious Diseases"
"1024","The Journal of Infectious Diseases"
"1025","Antimicrobial Agents and Chemotherapy"
"1026","PLOS Neglected Tropical Diseases"
"1027","Journal of Clinical Microbiology"
"1028","Vaccine"
"1029","Clinical Microbiology Reviews"
"1030","Euro surveillance: European communicable disease bulletin"
"1031","Critical Care Medicine"
"1032","Critical Care"
"1033","Intensive Care Medicine"
"1034","Journal of Critical Care"
"1035","Pediatric Critical Care Medicine"
"1036","Current Opinion in Critical Care"
"1037","Annals of Intensive Care"
"1038","American Journal of Critical Care"
"1039","Journal of Intensive Care Medicine"
"1040","Intensive & critical care nursing"
"1041","Journal of Endodontics"
"1042","Journal of Dental Research"
"1043","Dental Materials"
"1044","Journal of Clinical Periodontology"
"1045","Journal of Dentistry"
"1046","Clinical Oral Implants Research"
"1047","Journal of Periodontology"
"1048","International Endodontic Journal"
"1049","Clinical Oral Investigations"
"1050","The Journal of Prosthetic Dentistry"
"1051","Journal of Investigative Dermatology"
"1052","Journal of the American Academy of Dermatology"
"1053","British Journal of Dermatology"
"1054","Journal of the European Academy of Dermatology and Venereology"
"1055","JAMA Dermatology"
"1056","Experimental Dermatology"
"1057","Clinics in Dermatology"
"1058","Dermatologic Surgery"
"1059","Contact Dermatitis"
"1060","Acta Dermato-Venereologica"
"1061","Journal of Autism and Developmental Disorders"
"1062","Research in Developmental Disabilities"
"1063","Autism"
"1064","Molecular Autism"
"1065","Research in Autism Spectrum Disorders"
"1066","Journal of Learning Disabilities"
"1067","Journal of Intellectual Disability Research"
"1068","Autism Research"
"1069","Journal of Neurodevelopmental Disorders"
"1070","Journal of Applied Research in Intellectual Disabilities"
"1071","Diabetes Care"
"1072","Diabetes"
"1073","The Lancet Diabetes & Endocrinology"
"1074","Diabetologia"
"1075","Diabetes, Obesity and Metabolism"
"1076","Diabetic Medicine"
"1077","Diabetes Research and Clinical Practice"
"1078","World Journal of Diabetes"
"1079","Cardiovascular Diabetology"
"1080","Current Diabetes Reports"
"1081","Resuscitation"
"1082","Journal of Trauma and Acute Care Surgery"
"1083","Annals of Emergency Medicine"
"1084","Academic Emergency Medicine"
"1085","The American Journal of Emergency Medicine"
"1086","Clinical Toxicology"
"1087","Current Opinion in Critical Care"
"1088","Emergency Medicine Journal"
"1089","The Journal of Emergency Medicine"
"1090","Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine"
"1091","The Journal of Clinical Endocrinology & Metabolism"
"1092","Nature Reviews. Endocrinology"
"1093","Journal of Bone and Mineral Research"
"1094","Psychoneuroendocrinology"
"1095","Trends in Endocrinology & Metabolism"
"1096","Osteoporosis International"
"1097","Thyroid"
"1098","Endocrinology"
"1099","Molecular and Cellular Endocrinology"
"1100","European Journal of Endocrinology"
"1101","MMWR. Morbidity and Mortality Weekly Report"
"1102","Emerging Infectious Diseases"
"1103","Euro surveillance: European communicable disease bulletin"
"1104","International Journal of Epidemiology"
"1105","American Journal of Epidemiology"
"1106","Journal of Clinical Epidemiology"
"1107","Epidemiology"
"1108","Infection control and hospital epidemiology"
"1109","European Journal of Epidemiology"
"1110","American Journal of Infection Control"
"1111","Gastroenterology"
"1112","Hepatology"
"1113","Gut"
"1114","Journal of Hepatology"
"1115","World Journal of Gastroenterology"
"1116","American Journal of Gastroenterology"
"1117","Clinical gastroenterology and hepatology"
"1118","Alimentary Pharmacology & Therapeutics"
"1119","Nature Reviews. Gastroenterology & Hepatology"
"1120","Gastrointestinal Endoscopy"
"1121","Nature Genetics"
"1122","Nature Reviews Genetics"
"1123","Genome Biology"
"1124","PLOS Genetics"
"1125","Oncogene"
"1126","Genome Research"
"1127","The American Journal of Human Genetics"
"1128","Human Molecular Genetics"
"1129","BMC Genomics"
"1130","Genetics"
"1131","Movement Disorders"
"1132","Alzheimer's & Dementia"
"1133","Journals of Gerontology Series A: Biomedical Sciences and Medical Sciences"
"1134","Neurobiology of Aging"
"1135","Journal of Alzheimer's Disease"
"1136","Ageing Research Reviews"
"1137","Journal of the American Geriatrics Society"
"1138","Frontiers in Aging Neuroscience"
"1139","Aging Cell"
"1140","Gerontologist"
"1141","Obstetrical & Gynecological Survey"
"1142","Obstetric Anesthesia Digest"
"1143","American Journal of Obstetrics & Gynecology"
"1144","Obstetrics & Gynecology"
"1145","Human Reproduction Update"
"1146","Gynecologic Oncology"
"1147","Bjog-An International Journal of Obstetrics and Gynaecology"
"1148","Ultrasound in Obstetrics & Gynecology"
"1149","Prenatal Diagnosis"
"1150","European Journal of Obstetrics & Gynecology and Reproductive Biology"
"1151","The New England Journal of Medicine"
"1152","The Lancet"
"1153","Proceedings of the National Academy of Sciences"
"1154","JAMA"
"1155","PLoS ONE"
"1156","Nature Medicine"
"1157","BMJ"
"1158","The Cochrane Database of Systematic Reviews"
"1159","The Journal of Clinical Investigation"
"1160","Science Translational Medicine"
"1161","The Journal of Thoracic and Cardiovascular Surgery"
"1162","The Annals of Thoracic Surgery"
"1163","European Journal of Cardio-Thoracic Surgery"
"1164","Interactive CardioVascular and Thoracic Surgery"
"1165","Annals of Cardiothoracic Surgery"
"1166","Journal of Cardiothoracic Surgery"
"1167","Thoracic Surgery Clinics"
"1168","General Thoracic and Cardiovascular Surgery"
"1169","The Thoracic and Cardiovascular Surgeon"
"1170","Journal of Cardiac Surgery"
"1171","Blood"
"1172","Leukemia"
"1173","Journal of Thrombosis and Haemostasis"
"1174","British Journal of Haematology"
"1175","Haematologica"
"1176","Thrombosis and Haemostasis"
"1177","American Journal of Hematology"
"1178","Biology of Blood and Marrow Transplantation"
"1179","Transfusion"
"1180","Journal of Hematology & Oncology"
"1181","Supportive Care in Cancer"
"1182","Journal of Pain and Symptom Management"
"1183","Palliative Medicine"
"1184","Journal of Palliative Medicine"
"1185","Death Studies"
"1186","BMC Palliative Care"
"1187","BMJ Supportive & Palliative Care"
"1188","American Journal of Hospice and Palliative Medicine"
"1189","Palliative & Supportive Care"
"1190","Current Opinion in Supportive and Palliative Care"
"1191","Immunity"
"1192","Nature Reviews Immunology"
"1193","Nature Immunology"
"1194","Journal of Allergy and Clinical Immunology"
"1195","The Journal of Immunology"
"1196","Journal of Experimental Medicine"
"1197","Frontiers in Immunology"
"1198","Trends in Immunology"
"1199","Immunological Reviews"
"1200","Allergy"
"1201","Journal of Medical Internet Research"
"1202","Journal of the American Medical Informatics Association"
"1203","Journal of Biomedical Informatics"
"1204","International Journal of Medical Informatics"
"1205","Journal of Medical Systems"
"1206","Journal of Medical Internet Research - Mobile Health and Ubiquitous Health"
"1207","BMC Medical Informatics and Decision Making"
"1208","Telemedicine and e-Health"
"1209","Artificial Intelligence in Medicine"
"1210","Journal of Telemedicine and Telecare"
"1211","Journal of Medicinal Chemistry"
"1212","Drug Discovery Today"
"1213","European Journal of Medicinal Chemistry"
"1214","Natural Product Reports"
"1215","Current Medicinal Chemistry"
"1216","Bioorganic & Medicinal Chemistry Letters"
"1217","Bioorganic & Medicinal Chemistry"
"1218","Medicinal Research Reviews"
"1219","Current Topics in Medicinal Chemistry"
"1220","Journal of Enzyme Inhibition and Medicinal Chemistry"
"1221","Cell"
"1222","Nucleic Acids Research"
"1223","Molecular Cell"
"1224","Nature Reviews. Molecular Cell Biology"
"1225","Nature Cell Biology"
"1226","Cell Reports"
"1227","PLOS Genetics"
"1228","Oncogene"
"1229","Cold Spring Harbor Perspectives in Biology"
"1230","Nature Structural & Molecular Biology"
"1231","Natural Product Reports"
"1232","Journal of Ethnopharmacology"
"1233","Marine Drugs"
"1234","Phytotherapy Research"
"1235","Journal of Natural Products"
"1236","Phytomedicine"
"1237","Fitoterapia"
"1238","Asian Pacific Journal of Tropical Biomedicine"
"1239","Planta Medica"
"1240","Journal of Medicinal Food"
"1241","Neuron"
"1242","Nature Neuroscience"
"1243","The Lancet Neurology"
"1244","'Nature Reviews Neuroscience"""
"1245","NeuroImage"
"1246","Journal of Neuroscience"
"1247","Neurology"
"1248","Brain"
"1249","Neuroscience & Biobehavioral Reviews"
"1250","Annals of Neurology"
"1251","Journal of Neurosurgery"
"1252","Neurosurgery"
"1253","World Neurosurgery"
"1254","Journal of Neurosurgery: Spine"
"1255","Neurosurgical Focus"
"1256","Acta Neurochirurgica"
"1257","Journal of Neurosurgery: Pediatrics"
"1258","Surgical Neurology International"
"1259","Operative Neurosurgery"
"1260","Neurosurgical Review"
"1261","Journal of Nuclear Medicine"
"1262","International Journal of Radiation Oncology * Biology * Physics"
"1263","European Journal of Nuclear Medicine and Molecular Imaging"
"1264","Radiotherapy and Oncology"
"1265","Physics in Medicine & Biology"
"1266","Medical Physics"
"1267","Radiation Oncology"
"1268","NMR in biomedicine"
"1269","Radiation Research"
"1270","Clinical Nuclear Medicine"
"1271","International Journal of Nursing Studies"
"1272","Nurse Education Today"
"1273","Journal of Advanced Nursing"
"1274","Journal of Clinical Nursing"
"1275","Journal of Nursing Management"
"1276","Midwifery"
"1277","Journal of Palliative Medicine"
"1278","Journal of Nursing Administration"
"1279","Nursing Ethics"
"1280","Journal of Interprofessional Care"
"1281","The American Journal of Clinical Nutrition"
"1282","Nutrients"
"1283","Clinical Nutrition"
"1284","British Journal of Nutrition"
"1285","Journal of the Academy of Nutrition and Dietetics"
"1286","The Journal of Nutrition"
"1287","Critical Reviews in Food Science and Nutrition"
"1288","The Journal of Nutritional Biochemistry"
"1289","Advances in Nutrition"
"1290","Nutrition Reviews"
"1291","Obesity Reviews"
"1292","International journal of obesity"
"1293","Diabetes, Obesity and Metabolism"
"1294","Obesity"
"1295","Obesity Surgery"
"1296","Surgery for obesity and related diseases"
"1297","Molecular Metabolism"
"1298","Pediatric Obesity"
"1299","Journal of Obesity"
"1300","Diabetes, Metabolic Syndrome and Obesity: Targets and Therapy"
"1301","Journal of Clinical Oncology"
"1302","The Lancet Oncology"
"1303","Nature Reviews Cancer"
"1304","Cancer Research"
"1305","Annals of Oncology"
"1306","Clinical Cancer Research"
"1307","Cancer Cell"
"1308","Oncogene"
"1309","Cancer Discovery"
"1310","JNCI: Journal of the National Cancer Institute"
"1311","Ophthalmology"
"1312","Investigative Ophthalmology & Visual Science"
"1313","American Journal of Ophthalmology"
"1314","JAMA Ophthalmology"
"1315","Retina"
"1316","British Journal of Ophthalmology"
"1317","Progress in Retinal and Eye Research"
"1318","Journal of Cataract & Refractive Surgery"
"1319","Journal of Vision"
"1320","Eye (London, England)"
"1321","Clinical Implant Dentistry and Related Research"
"1322","International Journal of Oral & Maxillofacial Implants"
"1323","Journal of Oral and Maxillofacial Surgery"
"1324","Journal of Cranio-Maxillofacial Surgery"
"1325","International Journal of Oral and Maxillofacial Surgery"
"1326","British Journal of Oral and Maxillofacial Surgery"
"1327","Oral Surgery, Oral Medicine, Oral Pathology and Oral Radiology"
"1328","Medicina Oral, Patologia Oral y Cirugia Bucal"
"1329","Dentomaxillofacial Radiology"
"1330","Journal of Craniofacial Surgery"
"1331","The American Journal of Sports Medicine"
"1332","The Journal of Bone & Joint Surgery"
"1333","Clinical Orthopaedics and Related Research"
"1334","Spine"
"1335","Knee Surgery, Sports Traumatology, Arthroscopy"
"1336","The Journal of Arthroplasty"
"1337","Arthroscopy: The Journal of Arthroscopic & Related Surgery"
"1338","The Spine Journal"
"1339","European Spine Journal"
"1340","The Bone & Joint Journal"
"1341","The Laryngoscope"
"1342","Head & Neck"
"1343","Hearing Research"
"1344","Otolaryngology—Head and Neck Surgery"
"1345","Otology & Neurotology"
"1346","JAMA Otolaryngology–Head & Neck Surgery"
"1347","Ear and Hearing"
"1348","European Archives of Oto-Rhino-Laryngology"
"1349","International Journal of Pediatric Otorhinolaryngology"
"1350","International Forum of Allergy & Rhinology"
"1351","Pain"
"1352","The journal of pain"
"1353","Journal of Pain and Symptom Management"
"1354","Pain Physician"
"1355","Cephalalgia"
"1356","Pain Medicine"
"1357","The Clinical Journal of Pain"
"1358","Headache: The Journal of Head and Face Pain"
"1359","European Journal of Pain"
"1360","The Journal of Headache and Pain"
"1361","Acta Neuropathologica"
"1362","Journal of Pathology"
"1363","Modern pathology: an official journal of the United States and Canadian Academy of Pathology, Inc"
"1364","The American Journal of Surgical Pathology"
"1365","The American Journal of Pathology"
"1366","International Journal of Clinical and Experimental Pathology"
"1367","Human Pathology"
"1368","Histopathology"
"1369","Archives of Pathology & Laboratory Medicine"
"1370","Brain Pathology"
"1371","Pediatrics"
"1372","JAMA Pediatrics"
"1373","The Journal of Pediatrics"
"1374","Journal of Pediatric Gastroenterology and Nutrition"
"1375","Developmental Medicine & Child Neurology"
"1376","Archives of Disease in Childhood"
"1377","The Pediatric Infectious Disease Journal"
"1378","Pediatric Research"
"1379","Acta Paediatrica"
"1380","Archives of Disease in Childhood-Fetal and Neonatal Edition"
"1381","Nature Reviews. Drug Discovery"
"1382","Advanced Drug Delivery Reviews"
"1383","Journal of controlled release"
"1384","Pharmacology & Therapeutics"
"1385","Journal of Medicinal Chemistry"
"1386","Neuropsychopharmacology"
"1387","Neuropharmacology"
"1388","British Journal of Pharmacology"
"1389","International Journal of Pharmaceutics"
"1390","Trends in Pharmacological Sciences"
"1391","British Journal of Sports Medicine"
"1392","The American Journal of Sports Medicine"
"1393","Sports Medicine"
"1394","Medicine & Science in Sports & Exercise"
"1395","Knee Surgery, Sports Traumatology, Arthroscopy"
"1396","Arthroscopy: The Journal of Arthroscopic & Related Surgery"
"1397","International Journal of Behavioral Nutrition and Physical Activity"
"1398","The Journal of Strength & Conditioning Research"
"1399","Scandinavian Journal of Medicine & Science in Sports"
"1400","Journal of Science and Medicine in Sport"
"1401","Physiological Reviews"
"1402","The Journal of Physiology"
"1403","Annual Review of Physiology"
"1404","Journal of Applied Physiology"
"1405","Comprehensive Physiology"
"1406","American Journal of Physiology-Heart and Circulatory Physiology"
"1407","American Journal of Physiology-Endocrinology and Metabolism"
"1408","Cellular Physiology and Biochemistry"
"1409","American Journal of Physiology-Cell Physiology"
"1410","American Journal of Physiology-Renal Physiology"
"1411","Plastic and Reconstructive Surgery"
"1412","Journal of Plastic, Reconstructive & Aesthetic Surgery"
"1413","Dermatologic Surgery"
"1414","Annals of Plastic Surgery"
"1415","Aesthetic Surgery Journal"
"1416","Microsurgery"
"1417","Aesthetic Plastic Surgery"
"1418","Journal of Craniofacial Surgery"
"1419","The Cleft palate-craniofacial journal"
"1420","Archives of Plastic Surgery"
"1421","BMC Pregnancy and Childbirth"
"1422","Archives of Disease in Childhood-Fetal and Neonatal Edition"
"1423","Maternal and Child Health Journal"
"1424","Journal of perinatology: official journal of the California Perinatal Association"
"1425","Midwifery"
"1426","The Journal of Maternal-Fetal & Neonatal Medicine"
"1427","Maternal & Child Nutrition"
"1428","Seminars in Fetal and Neonatal Medicine"
"1429","Clinics in Perinatology"
"1430","Seminars in Perinatology"
"1431","Journal of General Internal Medicine"
"1432","The Annals of Family Medicine"
"1433","American Family Physician"
"1434","BMC Family Practice"
"1435","British Journal of General Practice"
"1436","The Journal of the American Board of Family Medicine"
"1437","Family Practice"
"1438","Canadian Family Physician"
"1439","Primary Care Respiratory Journal"
"1440","Australian Family Physician"
"1441","Biological Psychiatry"
"1442","JAMA Psychiatry"
"1443","Molecular Psychiatry"
"1444","American Journal of Psychiatry"
"1445","Clinical Psychology Review"
"1446","Schizophrenia Bulletin"
"1447","Journal of Affective Disorders"
"1448","Psychological Medicine"
"1449","Neuropsychopharmacology"
"1450","Journal of Child Psychology and Psychiatry"
"1451","Psychological Science"
"1452","Trends in Cognitive Sciences"
"1453","Psychological Bulletin"
"1454","Frontiers in Psychology"
"1455","Frontiers in Human Neuroscience"
"1456","Clinical Psychology Review"
"1457","Journal of Personality and Social Psychology"
"1458","Annual Review of Psychology"
"1459","Journal of Child Psychology and Psychiatry"
"1460","Developmental Psychology"
"1461","American Journal of Public Health"
"1462","BMC Public Health"
"1463","American Journal of Preventive Medicine"
"1464","International Journal of Environmental Research and Public Health"
"1465","International Journal of Behavioral Nutrition and Physical Activity"
"1466","Preventive Medicine"
"1467","Tobacco Control"
"1468","Bulletin of the World Health Organization"
"1469","Nicotine & Tobacco Research"
"1470","AIDS and behavior"
"1471","American Journal of Respiratory and Critical Care Medicine"
"1472","European Respiratory Journal"
"1473","Chest"
"1474","The Lancet Respiratory Medicine"
"1475","Thorax"
"1476","Journal of Thoracic Oncology"
"1477","Lung Cancer"
"1478","Respiratory Medicine"
"1479","Annals of the American Thoracic Society"
"1480","Journal of Thoracic Disease"
"1481","Radiology"
"1482","IEEE Transactions on Medical Imaging"
"1483","Magnetic Resonance in Medicine"
"1484","JACC: Cardiovascular Imaging"
"1485","Endoscopy"
"1486","European Radiology"
"1487","American Journal of Neuroradiology"
"1488","Physics in Medicine & Biology"
"1489","Circulation: Cardiovascular Imaging"
"1490","Medical Physics"
"1491","Archives of Physical Medicine and Rehabilitation"
"1492","Journal of NeuroEngineering and Rehabilitation"
"1493","IEEE Transactions on Neural Systems and Rehabilitation Engineering"
"1494","Neurorehabilitation and Neural Repair"
"1495","Clinical Rehabilitation"
"1496","Disability and Rehabilitation"
"1497","Brain Injury"
"1498","Journal of Head Trauma Rehabilitation"
"1499","Manual Therapy"
"1500","American Journal of Physical Medicine & Rehabilitation"
"1501","Fertility and Sterility"
"1502","Human Reproduction Update"
"1503","Human Reproduction"
"1504","Journal of Sexual Medicine"
"1505","Reproductive BioMedicine Online"
"1506","Biology of Reproduction"
"1507","Reproduction"
"1508","Contraception"
"1509","Molecular Human Reproduction"
"1510","American Journal of Reproductive Immunology"
"1511","Annals of the Rheumatic Diseases"
"1512","Arthritis & Rheumatology"
"1513","Arthritis and Rheumatism"
"1514","Autoimmunity Reviews"
"1515","Nature Reviews. Rheumatology"
"1516","Osteoarthritis and Cartilage"
"1517","Rheumatology"
"1518","Arthritis Research & Therapy"
"1519","Arthritis Care & Research"
"1520","Seminars in Arthritis and Rheumatism"
"1521","Journal of Personality and Social Psychology"
"1522","Personality and Individual Differences"
"1523","Personality and Social Psychology Bulletin"
"1524","Cyberpsychology, Behavior, and Social Networking"
"1525","Journal of Experimental Social Psychology"
"1526","Journal of Personality"
"1527","Social Psychological and Personality Science"
"1528","Social and Personality Psychology Compass"
"1529","European Journal of Personality"
"1530","Journal of Research in Personality"
"1531","Annals of Surgery"
"1532","Journal of Vascular Surgery"
"1533","British Journal of Surgery"
"1534","Surgical Endoscopy"
"1535","Annals of Surgical Oncology"
"1536","JAMA Surgery"
"1537","Journal of the American College of Surgeons"
"1538","Journal of Trauma and Acute Care Surgery"
"1539","Obesity Surgery"
"1540","World Journal of Surgery"
"1541","Environmental Health Perspectives"
"1542","Food and Chemical Toxicology"
"1543","Carcinogenesis"
"1544","Ecotoxicology and Environmental Safety"
"1545","Archives of Toxicology"
"1546","Toxicology and Applied Pharmacology"
"1547","Toxicology Letters"
"1548","Toxicological Sciences"
"1549","Environmental Research"
"1550","Nanotoxicology"
"1551","American Journal of Transplantation"
"1552","The Journal of Heart and Lung Transplantation"
"1553","Biology of Blood and Marrow Transplantation"
"1554","Transplantation"
"1555","Liver Transplantation"
"1556","Cell Transplantation"
"1557","Bone Marrow Transplantation"
"1558","Transplant International"
"1559","Current Opinion in Organ Transplantation"
"1560","Transplantation Proceedings"
"1561","PLOS Neglected Tropical Diseases"
"1562","American Journal of Tropical Medicine and Hygiene"
